origin,destination,airline,direct_departure_ts,price
MOW,BJS,SU,2025-11-03 18:05:00,48762
MOW,BJS,SU,2025-11-02 18:05:00,57881
MOW,BJS,SU,2025-11-05 18:05:00,57156
MOW,BJS,SU,2025-10-31 18:05:00,96834
MOW,BJS,SU,2025-11-07 18:05:00,48354
