origin,destination,airline,direct_departure_ts,price
MOW,BJS,CZ,2025-11-29 16:00:00,24678
MOW,BJS,CZ,2025-12-01 16:00:00,24778
MOW,BJS,CZ,2025-12-03 16:00:00,24889
MOW,BJS,CZ,2025-12-07 16:00:00,24725
MOW,BJS,CZ,2025-12-04 16:00:00,24876
MOW,BJS,CZ,2025-11-30 16:00:00,24711
MOW,BJS,CZ,2025-12-02 16:00:00,24778
MOW,BJS,CZ,2025-12-05 16:00:00,24778
MOW,BJS,CZ,2025-12-08 16:00:00,24678
MOW,BJS,CZ,2025-12-06 16:00:00,24874
